SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
109	10/13/2025	Oct	2025	P&L	Feeding Material	P&L	Bhusa	Lot 2		Lot No 2 Bhusa 1 pickup					3500
110	10/13/2025	Oct	2025	P&L	Feeding Material	P&L	Freight and Cartage-B	Lot 2		Lot No 2Tractor Bara-Freight for Bhusa					600
111	10/13/2025	Oct	2025	P&L	Feeding Material	P&L	Loading/Unloading-B	Lot 2		Lot No 2 Loading and Unloading					900
112	10/13/2025	Oct	2025	BS	Building Construction	Colour	Colour			Wall Primer					670
113	10/13/2025	Oct	2025	BS	Building Construction	Colour	Colour			Wall Rub Primer					45
114	10/13/2025	Oct	2025	BS	Building Construction	Colour	Colour			Wall Puty 40 KG					630
115	10/13/2025	Oct	2025	BS	Building Construction	Colour	Colour			wall Ring Bush					220
116	10/13/2025	Oct	2025	BS	Building Construction	Colour	Colour			Wall Paint Bush					220
117	10/13/2025	Oct	2025	BS	Building Construction	Colour	Colour			Panting  Charge					1200
118	10/12/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Construction Labour Charge+1 Mistry+2 Labour 8th Oct					1600
119	10/2/2025	Oct	2025	P&L	Feeding Material	P&L	Freight and Cartage-B	Lot 1		Lot No 1 Bhusa Loading and Undloading Charge 200x4					1000
120	10/10/2025	Oct	2025	BS	Building Construction	Boudnry Wall _Pole	Boudnry Wall _Pole			Mis					300
122	10/13/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Construction Labour Charge+1 Mistry+2 Labour 8th Oct					1600
123	10/14/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Labour Charge 2 tow					900
124	10/14/2025	Oct	2025	BS	Building Construction	Main Gate	Stone			Stone 110X5=550+					550
125	10/14/2025	Oct	2025	BS	Building Construction	Main Gate	Cement			Cement 340*7 bags					2380
126	10/14/2025	Oct	2025	BS	Building Construction	Main Gate	Misc			Gate Waser					25
127	10/23/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Labour advance					1000
128	10/23/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Labour Room socket bord					300
129	10/23/2025	Oct	2025	BS	Building Construction	Boudnry Wall _Pole	Boudnry Wall _Pole			Boudry Wires Fixing Labour charge 200x2					400
130	10/23/2025	Oct	2025	P&L	Feeding Material	P&L	Grass Seed			Grass Seed for Green Grass plantation					1560
131	10/23/2025	Oct	2025	BS	Building Construction	Green Net	Green Net			Green Shed Net					2055
132	10/23/2025	Oct	2025	BS	Tools	Steel -Cow Dung	Steel -Cow Dung			Gobar Utake ke lia tools					895
133	10/23/2025	Oct	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Rubber Mat for Cow		1		1	1573
134	10/23/2025	Oct	2025	BS	Tools	Measuring Cylender	Measuring Cylender			Measuring Cylender					283
135	10/23/2025	Oct	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Rubber Mat for Cow					1583
136	10/23/2025	Oct	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Rubber Mat for Cow					1583
137	10/23/2025	Oct	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Rubber Mat for Cow					1583
138	10/23/2025	Oct	2025	BS	Plant and Machinery	Grass Curring Machine	Grass Curring Machine			Grass Curring Machine					22832
139	10/29/2025	Oct	2025	P&L-2	Cow	Cow-1	Basic Price			Cow Purchase With Femal Beby	1				48000
139	10/29/2025	Oct	2025	P&L-2	Cow	Cow-1	Commission			Cow Purchase With Femal Beby-Commission					300
139	10/29/2025	Oct	2025	P&L-2	Cow	Cow-1	Loading/Unloading			Cow Purchase With Femal Beby-Vehicls charge					800
140	10/30/2025	Oct	2025	BS	Tools	Tools	Balti			Balti 1.790   250X 1.790					448
141	10/30/2025	Oct	2025	BS	Tools	Milk Cane	Milk Cane			Dudh / Milk Cane Two Pices 1250X2   12 Ltrs		2		1250	2500
142	10/30/2025	Oct	2025	BS	Tools	Milk Cane	Milk Cane			Dudh / Milk Cane Two Pices 40 Ltrs					4800
143	10/30/2025	Oct	2025	BS	Building Construction	Plastiic	Plastiic			Plastic Material					950
143	10/30/2025	Oct	2025	BS	Tools	Tools	Tools			Tagar+Milk Measuring+Henger+scrpe					580
144	10/30/2025	Oct	2025	P&L	Feeding Material-2	P&L	Chokar			Chokar   44 kgs X 8 Bags	8	44	352	28.75	10120
